import time: self [us] | cumulative | imported package
import time:      1266 |       1266 |   _io
import time:       206 |        206 |   marshal
import time:      2254 |       2254 |   posix
import time:      2137 |       5861 | _frozen_importlib_external
import time:       502 |        502 |   time
import time:       995 |       1497 | zipimport
import time:       315 |        315 |     _codecs
import time:      1165 |       1480 |   codecs
import time:      2125 |       2125 |   encodings.aliases
import time:      3373 |       6978 | encodings
import time:       982 |        982 | encodings.utf_8
import time:       659 |        659 | _signal
import time:       169 |        169 |     _abc
import time:       505 |        674 |   abc
import time:       543 |       1216 | io
import time:       164 |        164 |       _stat
import time:       187 |        351 |     stat
import time:      3878 |       3878 |     _collections_abc
import time:       256 |        256 |       genericpath
import time:       411 |        667 |     posixpath
import time:      1822 |       6717 |   os
import time:       472 |        472 |   _sitebuiltins
import time:      1127 |       1127 |   encodings.utf_8_sig
import time:      9834 |       9834 |   _virtualenv
import time:      6615 |       6615 |   _distutils_hack
import time:       677 |        677 |     pip_system_certs
import time:      1775 |       2451 |   pip_system_certs.bootstrap
import time:       455 |        455 |   sitecustomize
import time:       661 |        661 |     __future__
import time:      1034 |       1034 |     warnings
import time:       203 |        203 |             _operator
import time:       778 |        980 |           operator
import time:       674 |        674 |                   types
import time:       241 |        241 |                       itertools
import time:       293 |        293 |                       keyword
import time:       369 |        369 |                       reprlib
import time:       153 |        153 |                       _collections
import time:      2071 |       3126 |                     collections
import time:       115 |        115 |                     _functools
import time:      1190 |       4431 |                   functools
import time:      2757 |       7861 |                 enum
import time:       159 |        159 |                   _sre
import time:       744 |        744 |                     re._constants
import time:       681 |       1424 |                   re._parser
import time:       263 |        263 |                   re._casefix
import time:       651 |       2496 |                 re._compiler
import time:       340 |        340 |                 copyreg
import time:      1072 |      11767 |               re
import time:       135 |        135 |               _ast
import time:      1037 |       1037 |               contextlib
import time:      3676 |      16614 |             ast
import time:        88 |         88 |                 _opcode
import time:       672 |        760 |               opcode
import time:      1363 |       2122 |             dis
import time:       271 |        271 |             collections.abc
import time:       243 |        243 |               importlib
import time:        88 |        331 |             importlib.machinery
import time:       283 |        283 |                 token
import time:        82 |         82 |                 _tokenize
import time:      1337 |       1700 |               tokenize
import time:       256 |       1956 |             linecache
import time:       332 |        332 |               _weakrefset
import time:       859 |       1191 |             weakref
import time:      3314 |      25795 |           inspect
import time:     16035 |      42810 |         wrapt.wrappers
import time:       333 |        333 |         wrapt._wrappers
import time:       894 |      44035 |       wrapt.__wrapt__
import time:      1550 |       1550 |       wrapt.patches
import time:       751 |        751 |       wrapt.weakrefs
import time:       749 |        749 |         threading
import time:       590 |        590 |         wrapt.arguments
import time:      2903 |       4240 |       wrapt.decorators
import time:       281 |        281 |           importlib._abc
import time:       161 |        442 |         importlib.util
import time:      1823 |       2265 |       wrapt.importer
import time:      1029 |      53867 |     wrapt
import time:      1713 |      57274 |   pip_system_certs.wrapt_requests
import time:      9758 |      94701 | site
