import time: self [us] | cumulative | imported package
import time:      1090 |       1090 |   _io
import time:       158 |        158 |   marshal
import time:      1177 |       1177 |   posix
import time:      1361 |       3785 | _frozen_importlib_external
import time:       367 |        367 |   time
import time:       458 |        824 | zipimport
import time:       193 |        193 |     _codecs
import time:      1414 |       1607 |   codecs
import time:      3179 |       3179 |   encodings.aliases
import time:      2629 |       7413 | encodings
import time:      1483 |       1483 | encodings.utf_8
import time:       856 |        856 | _signal
import time:       270 |        270 |     _abc
import time:       788 |       1058 |   abc
import time:      1011 |       2068 | io
import time:       317 |        317 |       _stat
import time:       352 |        669 |     stat
import time:      5275 |       5275 |     _collections_abc
import time:       280 |        280 |       genericpath
import time:       398 |        677 |     posixpath
import time:      1970 |       8589 |   os
import time:       480 |        480 |   _sitebuiltins
import time:      1827 |       1827 |   encodings.utf_8_sig
import time:      3245 |       3245 |   _virtualenv
import time:      1474 |       1474 |   _distutils_hack
import time:       643 |        643 |     pip_system_certs
import time:       747 |       1390 |   pip_system_certs.bootstrap
import time:       442 |        442 |   sitecustomize
import time:       570 |        570 |     __future__
import time:      1034 |       1034 |     warnings
import time:       297 |        297 |             _operator
import time:      1558 |       1855 |           operator
import time:      1071 |       1071 |                   types
import time:       472 |        472 |                       itertools
import time:       549 |        549 |                       keyword
import time:       907 |        907 |                       reprlib
import time:       297 |        297 |                       _collections
import time:      3242 |       5466 |                     collections
import time:       271 |        271 |                     _functools
import time:      2263 |       7998 |                   functools
import time:      5690 |      14758 |                 enum
import time:       315 |        315 |                   _sre
import time:      1015 |       1015 |                     re._constants
import time:      1527 |       2542 |                   re._parser
import time:       514 |        514 |                   re._casefix
import time:      1756 |       5126 |                 re._compiler
import time:       746 |        746 |                 copyreg
import time:      1889 |      22518 |               re
import time:      8202 |       8202 |               _ast
import time:      3293 |       3293 |               contextlib
import time:      6382 |      40393 |             ast
import time:       174 |        174 |                 _opcode
import time:      1654 |       1828 |               opcode
import time:      3062 |       4889 |             dis
import time:       561 |        561 |             collections.abc
import time:       401 |        401 |               importlib
import time:       146 |        547 |             importlib.machinery
import time:       478 |        478 |                 token
import time:       134 |        134 |                 _tokenize
import time:      2613 |       3224 |               tokenize
import time:       415 |       3639 |             linecache
import time:       842 |        842 |               _weakrefset
import time:      1668 |       2509 |             weakref
import time:      6536 |      59071 |           inspect
import time:      1422 |      62346 |         wrapt.wrappers
import time:       520 |        520 |         wrapt._wrappers
import time:       660 |      63526 |       wrapt.__wrapt__
import time:       388 |        388 |       wrapt.patches
import time:       319 |        319 |       wrapt.weakrefs
import time:      1385 |       1385 |         threading
import time:       254 |        254 |         wrapt.arguments
import time:       685 |       2323 |       wrapt.decorators
import time:       392 |        392 |           importlib._abc
import time:       376 |        767 |         importlib.util
import time:       421 |       1188 |       wrapt.importer
import time:       791 |      68532 |     wrapt
import time:       558 |      70694 |   pip_system_certs.wrapt_requests
import time:     11027 |      99165 | site
import time:       179 |        179 | runpy
import time:       439 |        439 |     _pytest._version
import time:       472 |        910 |   _pytest
import time:       308 |        308 |         copy
import time:       913 |       1220 |       dataclasses
import time:       240 |        240 |         fnmatch
import time:       112 |        112 |           _winapi
import time:        99 |         99 |           nt
import time:        92 |         92 |           nt
import time:        87 |         87 |           nt
import time:        86 |         86 |           nt
import time:        97 |         97 |           nt
import time:        87 |         87 |           nt
import time:       128 |        783 |         ntpath
import time:        87 |         87 |         errno
import time:       189 |        189 |           urllib
import time:       119 |        119 |           math
import time:      1706 |       1706 |           ipaddress
import time:      1449 |       3461 |         urllib.parse
import time:       993 |       5563 |       pathlib
import time:      1182 |       1182 |         textwrap
import time:       851 |       2032 |       traceback
import time:        81 |         81 |         _typing
import time:      3445 |       3526 |       typing
import time:       346 |        346 |         pluggy._version
import time:      1180 |       1180 |           pluggy._result
import time:      6824 |       8003 |         pluggy._hooks
import time:      1287 |       1287 |           pluggy._tracing
import time:       428 |        428 |             pluggy._warnings
import time:      1982 |       2410 |           pluggy._callers
import time:      4687 |       8383 |         pluggy._manager
import time:       513 |      17243 |       pluggy
import time:       100 |        100 |           _bisect
import time:       315 |        415 |         bisect
import time:      2756 |       3170 |       _pytest._code.source
import time:       180 |        180 |             zlib
import time:       404 |        404 |               _compression
import time:        81 |         81 |               _bz2
import time:       438 |        922 |             bz2
import time:       144 |        144 |               _lzma
import time:       424 |        568 |             lzma
import time:      1332 |       3000 |           shutil
import time:       242 |        242 |                 _pytest._py
import time:      1458 |       1699 |               _pytest._py.error
import time:       150 |        150 |                 atexit
import time:       150 |        150 |                     _wmi
import time:       855 |       1005 |                   platform
import time:        76 |         76 |                   _uuid
import time:       776 |       1856 |                 uuid
import time:     19380 |      21385 |               _pytest._py.path
import time:       501 |      23584 |             py
import time:      3506 |      27090 |           _pytest.compat
import time:       128 |        128 |             unicodedata
import time:       767 |        894 |           _pytest._io.wcwidth
import time:      3045 |      34028 |         _pytest._io.terminalwriter
import time:       317 |      34345 |       _pytest._io
import time:      9812 |       9812 |         pprint
import time:      2046 |      11858 |       _pytest._io.saferepr
import time:      4606 |       4606 |         _pytest.warning_types
import time:      1261 |       5866 |       _pytest.deprecated
import time:      5260 |       5260 |         _pytest.outcomes
import time:     18503 |      23763 |       _pytest.pathlib
import time:     30166 |     138746 |     _pytest._code.code
import time:       451 |     139197 |   _pytest._code
import time:       169 |        169 |                 _random
import time:       179 |        179 |                 _sha2
import time:      1077 |       1424 |               random
import time:      1120 |       2543 |             tempfile
import time:      1125 |       1125 |             importlib.resources.abc
import time:       866 |        866 |             importlib.resources._adapters
import time:      1197 |       5728 |           importlib.resources._common
import time:      1247 |       1247 |           importlib.resources._legacy
import time:       486 |       7460 |         importlib.resources
import time:      1255 |       8715 |       importlib.abc
import time:       253 |        253 |         _struct
import time:       488 |        741 |       struct
import time:     14560 |      14560 |         _pytest._io.pprint
import time:      2755 |       2755 |             gettext
import time:      2443 |       5197 |           argparse
import time:      1508 |       1508 |           glob
import time:       206 |        206 |               _csv
import time:       973 |       1179 |             csv
import time:       399 |        399 |             email
import time:       193 |        193 |               binascii
import time:       522 |        522 |                 zipfile._path.glob
import time:      1248 |       1769 |               zipfile._path
import time:      1597 |       3559 |             zipfile
import time:       645 |        645 |                 quopri
import time:      1003 |       1003 |                     _socket
import time:       213 |        213 |                       select
import time:      2308 |       2520 |                     selectors
import time:       291 |        291 |                     array
import time:      8082 |      11894 |                   socket
import time:      3184 |       3184 |                     _datetime
import time:       471 |       3654 |                   datetime
import time:       304 |        304 |                         _locale
import time:      2640 |       2944 |                       locale
import time:      2483 |       5426 |                     calendar
import time:       792 |       6218 |                   email._parseaddr
import time:      1070 |       1070 |                       base64
import time:       455 |       1525 |                     email.base64mime
import time:       114 |        114 |                         _string
import time:      2001 |       2114 |                       string
import time:       771 |       2885 |                     email.quoprimime
import time:      1341 |       1341 |                     email.errors
import time:       531 |        531 |                     email.encoders
import time:       800 |       7080 |                   email.charset
import time:      1500 |      30344 |                 email.utils
import time:      2458 |       2458 |                   email.header
import time:      1777 |       4235 |                 email._policybase
import time:       980 |        980 |                 email._encoded_words
import time:      2300 |       2300 |                 email.iterators
import time:      3536 |      42038 |               email.message
import time:      1982 |       1982 |                 importlib.metadata._functools
import time:      1020 |       3001 |               importlib.metadata._text
import time:      4559 |      49597 |             importlib.metadata._adapters
import time:      8789 |       8789 |             importlib.metadata._meta
import time:      5584 |       5584 |             importlib.metadata._collections
import time:       451 |        451 |             importlib.metadata._itertools
import time:      5012 |      74567 |           importlib.metadata
import time:      1189 |       1189 |           shlex
import time:      4898 |       4898 |           _pytest.config.compat
import time:      1711 |       1711 |           _pytest.config.exceptions
import time:      2185 |       2185 |               iniconfig.exceptions
import time:      3663 |       3663 |               iniconfig._parse
import time:      6319 |      12166 |             iniconfig
import time:      4558 |      16723 |           _pytest.config.findpaths
import time:     13002 |      13002 |           _pytest.config.argparsing
import time:      6349 |       6349 |           _pytest.hookspec
import time:      1946 |       1946 |           _pytest.stash
import time:     42613 |     169698 |         _pytest.config
import time:     14711 |     198967 |       _pytest.assertion.util
import time:     10654 |      10654 |               _pytest.mark.expression
import time:      2742 |       2742 |                 _pytest.scope
import time:     10338 |      13079 |               _pytest.mark.structures
import time:      5988 |      29719 |             _pytest.mark
import time:        85 |      29803 |           _pytest.mark.structures
import time:      8818 |      38621 |         _pytest.nodes
import time:      5857 |       5857 |         _pytest.reports
import time:      7946 |       7946 |           bdb
import time:       359 |        359 |           _pytest.timing
import time:      7643 |      15947 |         _pytest.runner
import time:     17530 |      77954 |       _pytest.main
import time:     28352 |     314726 |     _pytest.assertion.rewrite
